created_at,full_text,retweet_count,favorite_count,screen_name
Sat Jan 15 01:28:39 +0000 2022,"RT @Reuters: An officer from the Miami-Dade Police Department rescued a dolphin that was tangled in a fishing net off the coast of Miami, F…",50,0,Benioff
Sat Jan 15 01:26:36 +0000 2022,RT @Benioff: I am so grateful to the tremendous work by the team @Time. They have transformed a 100 year old media brand into an amazing gr…,27,0,Benioff
Sat Jan 15 01:23:29 +0000 2022,Thanks Chief Ranger @JoePoch ! 🤠 https://t.co/cK8KMGrMz7,2,57,Benioff
Sat Jan 15 01:14:11 +0000 2022,Welcome Trailblazer Ranch! ❤️ https://t.co/GUEgyC7pd7,63,644,Benioff
Fri Jan 14 23:01:01 +0000 2022,RT @Benioff: Today AppExchange passed 10M installs! Thank you to our partners &amp; ISVs for all that you do for our Salesforce economy. I’d li…,35,0,Benioff
Fri Jan 14 18:15:09 +0000 2022,RT @danprimack: How Marc Benioff is transforming @TIME  https://t.co/OUe84gBdQe,6,0,Benioff
Fri Jan 14 18:00:51 +0000 2022,I am so grateful to the tremendous work by the team @Time. They have transformed a 100 year old media brand into an amazing growth company! They once again proved how business can be the greatest platform for change. Thank you for supporting our journey. ❤️https://t.co/DSbZ7aWfWp,27,207,Benioff
Fri Jan 14 17:55:30 +0000 2022,"RT @appexchange: You like us - you really like us! Because of Trailblazers like you, we just crossed #10million installs. Thank you to the…",50,0,Benioff
Fri Jan 14 17:54:46 +0000 2022,Today AppExchange passed 10M installs! Thank you to our partners &amp; ISVs for all that you do for our Salesforce economy. I’d like to thank Steve Jobs as without his motivation to develop an “application economy” this would not exist. @parkerharris  https://t.co/oAElRoaNwA,35,188,Benioff
Fri Jan 14 17:53:21 +0000 2022,"Today AppExchange passed 10M installs! Thank you to our partners &amp; ISVs for all you do for our Salesforce economy. I’d like to thank Steve Jobs as without his motivation to develop an “application economy” this would not exist. @parkerharris 
 https://t.co/Z0gYCPtBln",21,180,Benioff
Fri Jan 14 09:23:39 +0000 2022,"RT @WEFUpLink: Do you have an innovation to tackle plastic pollution? We want to hear it! 

Submit your solution on UpLink to join the Glob…",18,0,Benioff
